report_date,report_source,report_period,ext_massacres_cum,killed,killed_cum,ext_killed,ext_killed_cum,ext_killed_children_cum,ext_killed_women_cum,injured_cum,ext_injured,ext_injured_cum,ext_civdef_killed_cum,med_killed_cum,ext_med_killed_cum,press_killed_cum,ext_press_killed_cum
2023-10-07,mohtel,24,0,232,232,232,232,0,0,1610,1610,1610,0,6,6,1,1
2023-10-08,mohtel,24,0,138,370,138,370,78,41,1788,178,1788,0,,6,1,1
2023-10-09,mohtel,24,8,190,560,190,560,91,61,2271,483,2271,0,6,6,3,3
2023-10-10,mohtel,24,8,340,900,340,900,260,230,4000,1729,4000,0,,6,7,7
2023-10-11,gmotel,24,23,200,1100,200,1100,398,230,5184,1184,5184,0,10,10,,7
2023-10-12,mohtel,24,23,317,1417,317,1417,500,276,5763,579,5763,0,11,11,,7
2023-10-13,missing,24,23,483,1900,483,1900,500,392,,1475,7238,0,11,11,,7
2023-10-14,gmotel,24,23,328,2228,328,2228,600,600,8714,1476,8714,0,11,11,,7
2023-10-15,gmotel,24,23,442,2670,442,2670,700,735,9200,486,9200,0,,11,,7
2023-10-16,gmotel,24,371,138,2808,138,2808,853,936,10850,1650,10850,7,37,37,,7
2023-10-17,gmotel,24,394,192,3000,192,3000,940,936,,607,11457,7,37,37,16,16
2023-10-18,mohtel,24,394,478,3478,478,3478,1000,936,12065,608,12065,7,,37,,16
2023-10-19,mohtel,24,394,307,3785,307,3785,1524,936,12493,428,12493,7,44,44,,16
2023-10-20,mohtel,24,431,352,4137,352,4137,1756,936,13162,669,13162,7,46,46,,16
2023-10-21,mohtel,24,460,248,4385,248,4385,1756,967,13561,399,13561,7,51,51,,16
2023-10-22,mohtel,24,484,266,4651,266,4651,1873,1023,14245,684,14245,7,54,54,,16
2023-10-23,mohtel,24,507,436,5087,436,5087,2055,1119,15273,1028,15273,7,57,57,,16
2023-10-24,mohtel,24,644,704,5791,704,5791,2360,1292,16297,1024,16297,7,65,65,,16
2023-10-25,mohtel,24,688,756,6547,756,6547,2704,1584,17439,1142,17439,7,73,73,,16
2023-10-26,mohtel,24,731,481,7028,481,7028,3038,1600,18482,1043,18482,7,101,101,,16
2023-10-27,mohtel,24,772,298,7326,298,7326,3038,1726,18967,485,18967,7,104,104,,16
2023-10-28,missing,24,772,377,7703,377,7703,3168,1916,,637,19604,7,,104,,16
2023-10-29,mohtel,24,881,302,8005,302,8005,3324,2062,20242,638,20242,7,116,116,,16
2023-10-30,gmotel,24,908,304,8309,304,8309,3457,2136,21048,806,21048,18,124,124,35,35
2023-10-31,mohtel,24,926,216,8525,216,8525,3542,2187,21543,495,21543,18,130,130,,35
2023-11-01,mohtel,24,950,280,8805,280,8805,3650,2252,22240,697,22240,18,132,132,,35
2023-11-02,mohtel,24,965,256,9061,256,9061,3760,2326,22911,671,22911,18,134,134,,35
2023-11-03,mohtel,24,997,196,9257,196,9257,3826,2405,23516,605,23516,18,136,136,,35
2023-11-04,mohtel,24,1006,228,9485,228,9485,3900,2509,24158,642,24158,18,150,150,,35
2023-11-05,mohtel,24,1031,285,9770,285,9770,4008,2550,24808,650,24808,18,175,175,,35
2023-11-06,gmotel,24,1031,252,10022,252,10022,4108,2610,25000,192,25000,18,192,192,,35
2023-11-07,mohtel,24,1071,306,10328,306,10328,4237,2719,25956,956,25956,18,192,192,,35
2023-11-08,mohtel,24,1098,241,10569,241,10569,4324,2823,26475,519,26475,18,193,193,,35
2023-11-09,mohtel,24,1118,249,10818,249,10818,4412,2918,26905,430,26905,18,195,195,,35
2023-11-10,mohtel,24,1130,260,11078,260,11078,4506,3027,27490,585,27490,20,198,198,49,49
2023-11-11,missing,24,1130,,,51,11129,4540,3044,,355,27845,20,,198,49,49
2023-11-12,gmotel,24,1142,,11180,51,11180,4609,3100,28200,355,28200,20,198,198,49,49
2023-11-13,gmotel,24,1153,,11240,60,11240,4630,3130,29000,800,29000,21,198,198,51,51
2023-11-14,gmotel,24,1165,,11320,80,11320,4650,3145,29200,200,29200,22,198,198,51,51
2023-11-15,gmotel,24,1200,,11500,180,11500,4710,3160,29800,600,29800,22,200,200,51,51
2023-11-16,missing,24,1200,,,500,12000,5000,3300,,100,29900,22,,200,51,51
2023-11-17,gmotel,24,1270,,12000,0,12000,5000,3300,30000,100,30000,22,200,200,51,51
2023-11-18,gmotel,24,1300,,12300,300,12300,5000,3300,30000,0,30000,22,200,200,56,56
2023-11-19,gmotel,24,1330,,13000,700,13000,5500,3500,30000,0,30000,22,201,201,60,60
2023-11-20,gmotel,24,1340,,13300,300,13300,5600,3550,31000,1000,31000,22,201,201,60,60
2023-11-21,gmotel,24,1354,,14128,828,14128,5840,3920,33000,2000,33000,22,205,205,,60
2023-11-22,gmotel,24,1384,,14532,404,14532,6000,4000,35000,2000,35000,25,205,205,64,64
2023-11-23,gmotel,24,1400,,14800,268,14800,6150,4000,36000,1000,36000,26,207,207,65,65
2023-11-24,missing,24,1400,,14800,0,14800,6150,4000,,0,36000,26,,207,,65
2023-11-25,missing,24,1400,,14800,0,14800,6150,4000,,0,36000,26,,207,67,67
2023-11-26,missing,24,1400,,14800,0,14800,6150,4000,,0,36000,26,,207,,67
2023-11-27,gmotel,24,1400,,14800,0,14800,6150,4000,36000,0,36000,26,207,207,70,70
2023-11-28,gmotel,24,1400,,14800,0,14800,6150,4000,36000,0,36000,26,207,207,70,70
2023-11-29,missing,24,1400,,14800,0,14800,6150,4000,,0,36000,26,,207,70,70
2023-11-30,missing,24,1400,,14800,0,14800,6150,4000,,0,36000,26,,207,70,70
2023-12-01,mohtel,24,1400,,14800,0,14800,6150,4000,37000,1000,37000,26,280,280,73,73
2023-12-02,mohtel,24,1450,407,15207,407,15207,6387,4257,40652,3652,40652,26,280,280,76,76
2023-12-03,mohtel,24,1473,316,15523,316,15523,6600,4300,41316,664,41316,26,281,281,77,77
2023-12-04,mohtel,24,1473,376,15899,376,15899,6800,4500,42000,684,42000,26,283,283,,77
2023-12-05,gmotel,24,1550,725,16248,349,16248,7112,4885,43616,1616,43616,32,286,286,81,81
2023-12-06,missing,24,1550,,,579,16827,7550,5000,,1192,44808,32,,286,,81
2023-12-07,mohtel,24,1576,350,17177,350,17177,7729,5153,46000,1192,46000,32,290,290,81,81
2023-12-08,mohtel,24,1576,313,17487,310,17487,7729,5246,46480,480,46480,32,,295,,81
2023-12-09,mohtel,24,1596,210,17700,213,17700,7870,6121,48780,2300,48780,32,295,295,,81
2023-12-10,mohtel,24,1617,297,17997,297,17997,7875,6130,49229,449,49229,32,296,296,,81
2023-12-11,mohtel,24,1636,208,18205,208,18205,7900,6150,49645,416,49645,32,,296,,81
2023-12-12,mohtel,24,1644,207,18412,207,18412,8000,6200,50100,455,50100,32,300,300,86,86
2023-12-13,mohtel,24,1660,196,18608,196,18608,8000,6200,50594,494,50594,32,300,300,,86
2023-12-14,mohtel,24,1678,179,18787,179,18787,8000,6200,50897,303,50897,32,300,300,,86
2023-12-15,gmotel,24,1680,,18800,13,18800,8000,6200,51000,103,51000,32,300,300,89,89
2023-12-16,missing,24,1680,,,217,19017,8000,6200,,200,51200,32,,300,,89
